Board Number,Board Name, 2007-2008  Students Expelled ,2007-2008 Expulsion Rate, 2008-2009  Students Expelled ,2008-2009 Expulsion Rate, 2009-2010  Students Expelled ,2009-2010 Expulsion Rate, 2010-2011  Students Expelled ,2010-2011 Expulsion Rate, 2011-2012  Students Expelled ,2011-2012 Expulsion Rate, 2012-2013  Students Expelled ,2012-2013 Expulsion Rate, 2013-2014  Students Expelled ,2013-2014 Expulsion Rate, 2014-2015  Students Expelled ,2014-2015 Expulsion Rate, 2015-2016  Students Expelled ,2015-2016 Expulsion Rate, 2016-2017  Students Expelled ,2016-2017 Expulsion Rate, 2017-2018  Students Expelled ,2017-2018 Expulsion Rate, 2018-2019  Students Expelled ,2018-2019 Expulsion Rate, 2019-2020  Students Expelled ,2019-2020 Expulsion Rate
B28010,Algoma DSB,11,0.09%,0,0.00%,<10,0.02%,<10,0.04%,<10,0.03%,<10,0.04%,<10,0.06%,<10,0.01%,0,0.00%,<10,0.02%,<10,0.03%,<10,0.06%,<10,0.08%
B67202,Algonquin and Lakeshore CDSB,<10,0.05%,0,0.00%,0,0.00%,<10,0.01%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
B66010,Avon Maitland DSB,<10,0.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
B66001,Bluewater DSB,<10,0.00%,<10,0.01%,<10,0.01%,<10,0.01%,<10,0.01%,<10,0.02%,<10,0.01%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
B67164,Brant Haldimand Norfolk CDSB,<10,0.03%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
B67008,Bruce-Grey CDSB,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,<10,0.03%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
B67172,CDSB of Eastern Ontario,0,0.00%,0,0.00%,<10,0.01%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
B66311,CÉP de l'Est de l'Ontario,<10,0.03%,0,0.00%,0,0.00%,<10,0.02%,<10,0.01%,0,0.00%,<10,0.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,<10,0.01%,0,0.00%
B67300,Conseil scolaire catholique Providence,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
B67318,CS catholique MonAvenir,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,<10,0.04%,<10,0.01%,0,0.00%
B28118,CS public du Grand Nord de l'Ontario,<10,0.04%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,<10,0.04%,0,0.00%,0,0.00%,0,0.00%
B66303,CS Viamonde,<10,0.04%,<10,0.03%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,<10,0.02%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,<10,0.01%,<10,0.01%
B28100,CSD du Nord-Est de l'Ontario,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
B67326,CSDC de l'Est ontarien,<10,0.01%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
