Board Number,Board Name, 2007-2008  Students Suspended ,2007-2008 Suspension Rate, 2008-2009  Students Suspended ,2008-2009 Suspension Rate, 2009-2010  Students Suspended ,2009-2010 Suspension Rate, 2010-2011  Students Suspended ,2010-2011 Suspension Rate, 2011-2012  Students Suspended ,2011-2012 Suspension Rate, 2012-2013  Students Suspended ,2012-2013 Suspension Rate, 2013-2014  Students Suspended ,2013-2014 Suspension Rate, 2014-2015  Students Suspended ,2014-2015 Suspension Rate, 2015-2016  Students Suspended ,2015-2016 Suspension Rate,2016-2017  Students Suspended,2016-2017 Suspension Rate,2017-2018  Students Suspended,2017-2018 Suspension Rate,2018-2019  Students Suspended,2018-2019 Suspension Rate,2019-2020  Students Suspended,2019-2020 Suspension Rate
B28010,Algoma DSB,"1,158",9.08,"1,055",8.53,"1,115",9.25,921,7.81,858,7.45,809,7.11,547,4.99,508,4.75,555,5.26,546,5.27,709,6.85,600,5.76,600,5.69
B67202,Algonquin and Lakeshore CDSB,407,3.09,547,4.24,460,3.60,410,3.26,380,3.04,275,2.19,285,2.30,225,1.84,172,1.41,254,2.07,294,2.39,300,2.44,220,1.78
B66010,Avon Maitland DSB,843,4.37,791,4.16,741,3.98,754,4.15,659,3.72,450,2.59,350,2.06,376,2.24,358,2.18,417,2.56,532,3.24,620,3.75,460,2.89
B66001,Bluewater DSB,821,3.93,811,4.01,742,3.79,650,3.41,625,3.35,601,3.33,489,2.80,532,3.10,579,3.42,572,3.38,586,3.44,585,3.38,505,2.90
B67164,Brant Haldimand Norfolk CDSB,648,5.50,686,5.91,645,5.67,532,4.83,476,4.43,395,3.82,306,3.04,331,3.31,344,3.46,391,3.86,367,3.56,400,3.76,255,2.37
B67008,Bruce-Grey CDSB,71,1.80,65,1.64,81,2.07,86,2.21,99,2.58,86,2.26,69,1.76,85,2.12,78,1.88,46,1.06,70,1.55,65,1.42,90,1.91
B67172,CDSB of Eastern Ontario,810,5.31,736,4.83,641,4.34,664,4.58,607,4.24,579,4.18,514,3.84,394,2.97,372,2.83,454,3.46,498,3.81,440,3.35,350,2.59
B66311,CÉP de l'Est de l'Ontario,107,0.92,197,1.64,452,3.60,530,4.09,476,3.52,380,2.73,312,2.21,168,1.16,413,2.80,358,2.35,406,2.54,535,3.19,360,2.08
B67300,Conseil scolaire catholique Providence,217,2.79,166,2.10,202,2.44,125,1.45,206,2.32,142,1.55,121,1.31,139,1.47,142,1.46,186,1.85,201,1.98,330,3.19,235,2.31
B67318,CS catholique MonAvenir,247,1.90,295,2.22,336,2.47,299,2.14,315,2.20,212,1.43,284,1.85,288,1.84,110,0.68,350,2.09,377,2.20,455,2.62,295,1.67
B28118,CS public du Grand Nord de l'Ontario,132,5.14,162,6.63,127,5.36,130,5.50,105,4.34,68,2.80,48,1.99,54,2.20,43,1.74,55,2.15,61,2.36,65,2.56,65,2.34
B66303,CS Viamonde,206,2.72,234,2.97,280,3.40,227,2.57,237,2.55,162,1.66,142,1.35,208,1.90,264,2.32,238,2.02,225,1.81,255,1.97,165,1.22
B28100,CSD du Nord-Est de l'Ontario,149,8.61,144,8.35,130,7.04,127,6.67,129,6.35,89,4.27,96,4.40,69,3.21,74,3.35,75,3.34,54,2.41,40,1.77,45,2.01
B67326,CSDC de l'Est ontarien,493,4.06,415,3.55,380,3.30,280,2.47,192,1.72,205,1.87,219,2.03,196,1.86,163,1.56,149,1.45,176,1.73,220,2.14,115,1.09
B29130,CSDC des Aurores boréales,19,2.53,20,2.71,23,3.16,21,2.83,25,3.42,11,1.46,14,1.87,22,2.78,20,2.52,17,2.07,29,3.50,25,2.68, 10 ,0.92
B29106,CSDC des Grandes Rivières,409,5.25,381,5.05,326,4.50,268,3.84,270,3.97,256,3.86,205,3.15,200,3.13,242,3.83,209,3.39,211,3.50,200,3.36,140,2.39
B67334,CSDC du Centre-Est de l'Ontario,660,3.64,591,3.18,460,2.41,450,2.28,384,1.87,371,1.76,331,1.54,296,1.36,309,1.38,367,1.58,390,1.60,525,2.09,400,1.54
B29122,CSDC du Nouvel-Ontario,213,2.76,217,2.82,198,2.62,233,3.13,190,2.61,157,2.17,145,2.03,114,1.63,104,1.52,112,1.64,96,1.42,165,2.46,135,2.02
B29114,CSDC Franco-Nord,183,5.43,190,5.69,219,6.74,144,4.54,147,4.85,130,4.32,119,4.04,122,4.14,109,3.69,99,3.40,82,2.88,75,2.75,65,2.29
B66150,DSB Niagara,370,0.84,557,1.29,"1,584",3.75,"1,399",3.38,"1,390",3.43,"1,156",2.91,996,2.56,908,2.36,988,2.57,"1,069",2.77,"1,109",2.86,"1,240",3.13,895,2.25
B28002,DSB Ontario North East,"1,004",10.58,989,10.78,"1,062",11.80,908,10.31,773,8.86,802,9.39,594,7.21,582,7.46,502,6.72,589,8.29,571,8.08,580,8.18,440,6.35
B67083,Dufferin-Peel CDSB,"2,892",3.18,"2,904",3.23,"3,022",3.38,"2,884",3.26,"2,865",3.27,"2,261",2.60,"2,094",2.44,"2,072",2.45,"2,091",2.49,"2,166",2.59,"2,414",2.91,"2,565",3.11,"1,960",2.43
B67105,Durham CDSB,"1,296",4.99,"1,193",4.76,"1,131",4.61,"1,096",4.55,973,4.11,818,3.49,552,2.40,494,2.20,572,2.59,661,3.02,555,2.54,650,2.96,475,2.13
B66060,Durham DSB,"4,702",6.32,"4,014",5.44,"4,218",5.72,"3,752",5.14,"3,340",4.60,"2,732",3.77,"2,293",3.19,"1,925",2.68,"2,051",2.83,"1,971",2.71,"1,702",2.33,"1,845",2.49,"1,390",1.85
B66168,Grand Erie DSB,"3,017",9.84,"2,597",8.69,"2,411",8.10,"2,264",7.66,"2,018",6.92,"1,839",6.32,"1,677",5.84,"1,679",5.94,"1,664",5.92,"1,712",6.14,"1,829",6.58,"1,990",7.20,"1,520",5.52
B66028,Greater Essex County DSB,"2,811",7.04,"3,001",7.64,"2,981",7.67,"2,628",6.84,"2,529",6.60,"2,402",6.29,"1,939",5.13,"1,917",5.15,"1,872",5.03,"2,013",5.36,"2,226",5.86,"2,400",6.23,"1,525",3.98
B67113,Halton CDSB,250,0.84,341,1.14,279,0.92,312,1.02,386,1.25,240,0.76,301,0.94,249,0.76,314,0.94,435,1.26,532,1.50,790,2.14,575,1.53
B66133,Halton DSB,"1,551",2.82,"1,550",2.74,"1,601",2.73,"1,480",2.47,"1,383",2.25,"1,164",1.85,850,1.33,806,1.25,803,1.22,897,1.34,"1,009",1.50,"1,155",1.69,800,1.17
B67121,Hamilton-Wentworth CDSB,"1,674",5.42,"1,432",4.66,"1,604",5.06,"1,391",4.43,"1,339",4.32,"1,191",3.84,903,2.94,806,2.63,820,2.72,924,3.05,"1,042",3.41,"1,130",3.66,860,2.76
B66141,Hamilton-Wentworth DSB,"3,369",5.90,"3,055",5.40,"2,815",5.06,"2,620",4.75,"2,662",4.87,"2,384",4.43,"1,994",3.75,"1,926",3.67,"1,972",3.77,"2,148",4.09,"2,278",4.34,"2,480",4.71,"2,170",4.14
B66222,Hastings & Prince Edward DSB,"1,291",6.63,"1,303",6.92,"1,363",7.44,"1,332",7.54,"1,264",7.32,"1,228",7.25,"1,071",6.56,"1,055",6.54,964,6.08,"1,025",6.51,"1,038",6.50,"1,200",7.67,935,6.01
B67016,Huron Perth CDSB,167,3.27,146,2.93,160,3.26,97,2.05,104,2.23,112,2.44,106,2.32,41,0.90,101,2.20,113,2.46,112,2.43,155,3.29,110,2.35
B29025,Huron-Superior CDSB,215,3.31,286,4.59,153,2.56,107,1.83,191,3.44,123,2.29,55,1.06,108,2.08,90,1.74,149,2.91,144,2.88,140,2.80,125,2.62
B66079,Kawartha Pine Ridge DSB,"2,160",5.38,"2,104",5.34,"1,980",5.14,"1,716",4.56,"1,464",3.97,"1,218",3.39,"1,142",3.28,"1,114",3.28,"1,049",3.11,"1,054",3.15,"1,037",3.06,"1,245",3.61,975,2.82
B28045,Keewatin-Patricia DSB,332,5.03,305,4.84,244,3.99,241,4.12,209,3.74,160,2.89,122,2.26,136,2.60,153,2.91,157,3.02,193,3.72,170,3.32,140,2.82
B29050,Kenora CDSB,48,3.15,44,2.88,45,2.93,34,2.16,21,1.29,28,1.70,12,0.74,27,1.60,13,0.81,37,2.37,41,2.77,30,2.19,35,2.65
B28061,Lakehead DSB,782,6.39,798,6.75,740,6.33,693,6.14,673,6.25,449,4.30,545,5.39,441,4.52,396,4.15,431,4.55,352,3.73,380,4.06,65,0.72
